Feature ID	Taxon	Confidence
feeb651ed135a05fff03c033989caded	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0.999944465
1c835e34e4b1ed6f6c5d3f3b58e77865	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.907714098
cbbfa82fe68c419bf18d28c0a1a76551	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.876631776
4b908d903f82ab693b671b058ef09890	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.871807972
19f02d1e6b9b2b5db03f2dd3ae229205	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.723238235
8d0d77a51ae555f446a9491bd7534334	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.847076519
ff75608e52866a70e9b6422858fc5efb	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Agromyces;s__	0.985287544
2934441faf1f34ef6442579d83c8530e	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0.999169942
b825e964ee7c3dde753d6c30baf0f05d	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Cnuibacter;s__	0.700422585
5962bd0c22e644f923d19fb332ececfd	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.923391438
bfd1d2f7d9c2b51c5f509350069b5111	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0.999564005
34117a1bde2a67def3d425ec92f48438	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.955244095
2c9d33d88ad6da3227150a8fa4f4e740	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.935939187
11896515d7322e7e966ef7e9fe6b862a	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.95315656
227a441126d5c8963aef6c23578ca580	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__	0.86434257
e2995213979485ebc2825c193402fb66	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__uncultured;s__	0.761863199
e9caef2bc46da6a80b48df993ca24384	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__uncultured;s__	0.720234564
0eaea4ea0e60134a8a68211eb30d6f74	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter;s__	0.999444551
47c237dbc59fff47009c8acc729f868b	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae	0.999678192
aa399bb3b2d67743f1067389da511199	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter;s__	0.997835615
e5c244246f7706accbe54654391b32db	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Leucobacter;s__	0.999488923
5b6edc991b707446c4ef1f1d85ede978	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Anaerococcus;s__	0.999996837
e1f144a13d47f58e46c1747abf1e3ae9	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionibacterium;s__	0.964895813
8293e27bb73ee5727edb10307b2ccbe3	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae;g__Cellulosimicrobium;s__	0.944537848
1991235904a7d84313fd133aae0a0552	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__	0.984734283
ecf224ae65eddbeb1b6d7e09f54ff3a7	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__	0.991006982
2d03ad21698b4789cb502792d952f3bf	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__	0.987092711
094d04bb42f0983df7ec3d15637aff4b	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinomycetospora;s__	0.998067418
af5e3cb8cad66f8c13d145fa00bad7f8	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacteriaceae;s__	0.820354966
516cb29461d4e3ee0329cad442d61508	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	0.999992096
a7a8262f7c480eae05ad25c595d6d3a6	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Simkaniaceae;g__uncultured;s__	0.957975364
7b6c4ab53155a88be0c0ff80e5e28674	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Amycolatopsis;s__	0.999371777
c5ec5a72af9ac15c61d562341f07f2db	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Pseudonocardia;s__	0.91971508
e98a54acb9824c6f202d8b55704cd9d3	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;s__	0.939408074
2d28a3c51e3bdd98f0ccc9483dfd3674	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium;s__	0.970166602
df5392045e4e9bef2be8b13140800d8e	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales	0.996648105
189de960f413b2bbb599041271ce7b82	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__	0.961653939
32a54d9d78c77d5589d987413d40e9ec	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__	0.983034228
207714eeecb0e2be88bd5e7e7f30e76a	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__	0.977554714
3423ef21db7f94946189924fb81dbbbf	d__Bacteria;p__Myxococcota;c__Polyangia;o__Blfdi19;f__Blfdi19;g__Blfdi19;s__	0.948812055
